Date,3_20,3_30,3_40,3_50,3_100,3_200,5_20,5_30,5_40,5_50,5_100,5_200,6_20,6_30,6_40,6_50,6_100,6_200,8_20,8_30,8_40,8_50,8_100,8_200,10_20,10_30,10_40,10_50,10_100,10_200,15_20,15_30,15_40,15_50,15_100,15_200,20_30,20_40,20_50,20_100,20_200
2011-01-04,-0.0140846212425485,-0.01440048702827923,-0.0021192118854809205,-0.0028888348746213266,-0.006091292848000696,-0.002149178972455812,-0.012424924077483412,-0.010471577522334075,-0.003700843064004089,-0.007485753084414126,0.00021987875335294227,0.0,-0.00986507623285593,-0.010361661774836883,-0.0020400407212353144,-0.003606889091354093,-0.0013786747929408483,-0.0035345247340000663,-0.01460436826302014,0.0,0.0010391155893980653,-0.004653962774378351,-0.0009140671119408639,0.0,-0.012538103630556963,-0.007642355302080239,0.001969026026246379,-0.0004467528318194969,-0.0007399304906541282,0.0001768198608409488,-0.013975418403687212,-0.008578854824120796,-0.006379240733027647,-0.0010348774277776362,0.0,0.0,0.0015579015200788415,0.0,0.0,0.0006994368673349793,0.0
2011-01-05,-0.013402454039467604,-0.01581454399370219,-0.018639049045003686,-0.007636206920325184,-0.004193521181247606,-0.0026584948923561447,-0.017239586374121818,-0.024984754113274388,-0.02135694368422625,-0.013216153199095304,-0.008730634048196406,-0.003273228633601355,-0.018920353433291237,-0.013702393306832206,-0.010051816214460607,-0.00815483853179777,-0.005379671978691936,-0.0021889386093649765,-0.012307659455624176,-0.011339963187986024,-0.0029651540660107223,-0.00042428853985065906,-0.0017852390365422632,0.0,-0.017528471299402826,-0.015763949325541704,0.0035194828610540796,-0.0013233620226381637,-0.00261054992923615,0.0014419170375004065,-0.018682871275392254,-0.015986537412372326,-0.00497807314229104,-0.008528653971063616,0.0,-0.004412094599623995,-0.0011810730060087815,-0.007759501579068018,-0.0007446895815096388,0.0006446185390858172,0.0
2011-01-06,-0.011960794307067313,-0.004179767514652322,-0.015816348656156443,-0.011274575097924067,-0.007022665754000346,-0.0003633172055923506,-0.01873699458857958,-0.008919768342726342,-0.01431689838919592,-0.01867559030347654,-0.006042635552360287,0.00047314931352171463,-0.01802103872062122,-0.00837494499647018,-0.010234231826630413,-0.014712051077555466,-0.0062698206959881375,-0.0011978950889781625,-0.011883639441095828,-0.0069287478510269285,-0.003006494989674424,-0.004979334800605639,-0.006208735812297417,0.0,-0.012853081800143662,-0.011462403413159183,-0.005850082065407047,-0.011442633821458936,-0.0021907966659319156,-0.00011376573485588626,-0.011066369843108492,-0.013906246183647775,-0.015469778199428408,-0.011213737673727353,0.0,-0.0020918204964391895,-0.013429506714621064,-0.013301761459004191,-0.0035220802039978016,-0.0011419084454021844,0.0
2011-01-07,-0.01502579361945,-0.01636976297018289,-0.014900486706325489,-0.018871344036915816,-0.010650298925436008,-0.008717439206399558,-0.023725399114108647,-0.025173727502292298,-0.028602516184956572,-0.026519593326811974,-0.012559459458794109,-0.001164972950568055,-0.025445816728032256,-0.029788910917927125,-0.02378573723715749,-0.02272320880773293,-0.013397426694734094,-0.003660904650926833,-0.03037264612916235,-0.029352481282647003,-0.01763845532870789,-0.027273923902832786,-0.0177852626833207,0.0,-0.02367033331869084,-0.028006808429485552,-0.022507936175951038,-0.03329069434894061,-0.014346476614033876,-0.0007146726786628754,-0.016438799474472576,-0.03254134480200965,-0.03191626200006514,-0.026382968400088358,-0.002454835146794454,-0.003954620679483267,-0.02465158742238671,-0.020100623682898444,-0.0067219136049533335,-0.005243108046516731,-0.00022558550077045325
2011-01-10,-0.005727345051326105,-0.0075240114780272815,-0.009036045543958093,-0.008902504722853477,-0.00422084596530492,-0.004335418040320338,-0.02322159383740874,-0.013990038195180743,-0.025771215541809944,-0.0203713575202934,-0.010980704299783262,0.0,-0.02585974496919774,-0.017855989381711956,-0.025053196811799294,-0.023740695623455155,-0.01149406222164484,3.3489657880636514e-05,-0.036130784241939606,-0.02818420797270016,-0.029013125451364807,-0.018687322085351066,-0.016123056153414472,0.0,-0.027113944707410687,-0.02374062098304275,-0.028012376960641072,-0.02065251794041323,-0.015077744132199755,-0.001159934507684146,-0.02037488191586123,-0.029953456847666926,-0.02747240459577016,-0.026869143603232226,-0.006166665934529525,-0.010183786358756608,-0.025040925982332984,-0.02932491897331646,-0.02547987479480429,-0.0035979078833537903,-0.007011034877273281
2011-01-11,0.000221805378567419,-0.0024731120196418432,0.001097840774657577,0.00022966569184701413,0.0032273705731999947,8.137949350750517e-05,0.0003988995767214565,-0.003410836415295826,0.00012290232198375328,-0.0066178446648785805,0.003080226796671859,0.0,0.003907633989691739,-0.0031195492052060736,0.00033343026729748537,-0.011946938755941994,0.00309243807075954,0.0,0.004724126119943772,-0.0032131525005011374,-0.0026877355720640317,-0.005964117477755715,-0.001520335819536256,0.0,-0.0008086700799587732,-0.007598016033823041,0.0007535887256422402,-0.007887631073552615,-0.002720470916674045,-0.0001496127489968302,0.004591250283416448,-0.00036143915605668653,-0.008615082033468058,3.1090034042557946e-05,-0.001425545780046833,0.000982033268767557,-0.005589521672307085,-0.0005427189784457109,0.0017548635751747366,-0.002141328675453247,-0.0014629616518657684
2011-01-12,0.0009502262541032369,0.0011256556491696657,0.0,0.0,0.0029204917224332494,0.0,0.0009568291648893723,0.003563883671103385,0.003150871344885786,0.002379524988546544,0.0029792917955127063,0.0,0.003403778621571707,0.004958064392076134,0.003267528650916285,0.00440241491797666,0.0029685225979765306,0.0,0.026801353777860415,0.008602129764788025,0.006751925551589988,0.019429392676631574,0.0037855526243866233,0.0,0.01559477933954656,0.012045501057553754,0.02177846757080193,0.019865198564810616,0.007289473257617862,-0.0007624395233770676,0.01154639376459543,0.02046334359576618,0.020142122735184564,0.01276380115700615,0.0027460144807489595,0.004103996620125949,0.02143075572320141,0.007356101494217171,0.008928280716078207,0.0037075666660295603,0.004225018011641657
2011-01-13,-0.0037766890174230072,-0.0008751010310968921,-0.00023202529797183846,0.0,-0.0038683106584019855,0.0,1.5350554599224964e-05,0.0007480869272655788,0.0002184030236633827,0.0,-0.0017189385854418093,0.0,0.00016821607244232872,0.0007422082161154808,0.001175953713402178,0.00044978838478937355,-0.0017127435562138693,0.0,-0.008908077274912718,-0.003038963438826814,-0.0002878003682420527,-0.0028545397615290513,-0.00241191285551301,0.0,-0.012941194979483983,-0.00974586356655971,-0.006811391027318425,-0.006872802045987947,-0.00536836029095733,-0.0006917040312940381,0.00044524838480097806,-0.008929780100668583,-0.0029533575513710497,-0.01374987526232041,-0.005757013792757171,-0.006048602378274648,-0.005983490637814226,-0.011612788564979493,-0.014957532717583821,-0.0030795580405289513,-0.006281340609655572
2011-01-14,-0.0016318631682814555,-0.0028333778739872972,-0.0004453664683096159,-0.0027046550857008356,-0.005384218121989304,-0.002233363048400272,0.0,-0.00032351465045687977,0.0,0.0,-0.0028396140358025734,-0.0021788835638131276,-0.00010838964743098423,-0.0017772806758000748,-0.00020471369538366258,0.000619342472277129,-0.002829362550668235,0.0,-0.001183246847443642,-0.0014894116924878409,-0.003957625247085095,-0.005830928549824255,-0.001890210415360305,0.0,-0.008634805444268645,-0.006703372368301319,-0.006531675878769461,-0.00830010065389486,-0.002585251176509651,0.000870582427649147,-0.012546585923633669,-0.021355888526793487,-0.012641677356953762,-0.006894672828338222,-0.0034005255436252435,-0.0011895063562590291,-0.0154945672455169,-0.010280315468943257,-0.005940399833768595,-0.00021586780187099475,-0.0013046914196589432
2011-01-17,-0.0059270582201726985,-0.004165086175283661,-0.0004539459194810025,-0.0021957130077040476,-0.002049014843817587,-0.005899085233818102,0.0,0.0,-0.00022464933113985897,0.0,-0.0024993131492357934,-0.000941073300625539,0.0,-3.368596435004978e-05,0.0,-0.0015741541554870064,-0.0024902646060321887,0.0,-0.0036963596128405385,-5.940365472034692e-05,0.0017021758322546265,-0.003033140812745083,-0.00397990457315045,0.0,-0.00044253567701735275,-0.0051113682552559325,-0.002177152395187454,-0.0035732343436467584,-0.003930608654725276,-0.0014544547421180276,-0.008185435561486543,-0.005673184991775271,-0.006134806949512295,-0.011555062045856768,-0.006185595138742728,-0.005158910461244726,-0.006379084131113322,-0.018736556623204614,-0.014288033361260166,-0.0021534873586336323,-0.00529610485769938
